id,timestamp,image_path,predicted_class,predicted_label,confidence,status,missing_items,corrected_class,corrected_label,notes,face_count,training_candidate,exported_for_training,created_at,workplace_id,model_version,device_id,detected_hamer,detected_schaar,detected_sleutel,total_detections,model_type
185,20251222_202543,uploads\inspect_20251222_202543.jpg,2,NOK - Hamer weg,0.8851956725120544,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:25:43,2,,Linux - Chrome,0,0,0,0,classification
184,20251222_202529,uploads\inspect_20251222_202529.jpg,0,OK,0.605629026889801,OK,[],,,,0,0,0,2025-12-22 19:25:29,2,,Linux - Chrome,0,0,0,0,classification
183,20251222_202513,uploads\inspect_20251222_202513.jpg,2,NOK - Hamer weg,0.6890430450439453,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:25:13,2,,Linux - Chrome,0,0,0,0,classification
182,20251222_202445,uploads\inspect_20251222_202445.jpg,3,NOK - Schaar weg,0.47146183252334595,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:24:45,2,,Linux - Chrome,0,0,0,0,classification
181,20251222_202421,uploads\inspect_20251222_202421.jpg,2,NOK - Hamer weg,0.4644034206867218,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:24:22,2,,Linux - Chrome,0,0,0,0,classification
180,20251222_202359,uploads\inspect_20251222_202359.jpg,5,NOK - Sleutel weg,0.8032739162445068,NOK,"[""sleutel""]",,,,0,0,0,2025-12-22 19:23:59,2,,Linux - Chrome,0,0,0,0,classification
179,20251222_202340,uploads\inspect_20251222_202340.jpg,0,OK,0.4768073856830597,OK,[],,,,0,0,0,2025-12-22 19:23:40,2,,Linux - Chrome,0,0,0,0,classification
178,20251222_202325,uploads\inspect_20251222_202325.jpg,0,OK,0.674243688583374,OK,[],,,,0,0,0,2025-12-22 19:23:25,2,,Linux - Chrome,0,0,0,0,classification
177,20251222_202301,uploads\inspect_20251222_202301.jpg,3,NOK - Schaar weg,0.9973058700561523,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:23:01,2,,Linux - Chrome,0,0,0,0,classification
176,20251222_202243,uploads\inspect_20251222_202243.jpg,3,NOK - Schaar weg,0.9996631145477295,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:22:43,2,,Linux - Chrome,0,0,0,0,classification
